Date,Year,TripID,Month,SiteID,TP,pH,EC,DOMgL,DOPctSat,rain24,rainsum72
8/8/2019,2019,8/8/2019-1-CWMN,August,UNB016,0.12594,7.29,7700,7.7,86,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER179,0.087564,7.28,5480,7.4,87,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,MIB030,,,,3.92,47.7,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,PTB035,0.077388,7.12,3260,6.4,74,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,MMB106,0.09192,7.12,393,6.14,80.3,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,WIP003,0.017952,7.33,341,,,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,WIP002,0.019584,7.23,909,,,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,SMB001,0.053244,7.06,272,4.77,60.6,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER002,0.223296,7.01,189,1.22,16,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,PTB047,,,,7,81,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,SPB016,0.069924,7.06,9800,6.14,80.3,0.62,0.62
8/8/2019,2019,8/8/2019-1-CWMN,August,NER040,0.143376,6.91,6170,3.2,41,0.62,0.62
9/12/2019,2019,9/12/2019-1-CWMN,September,UNB014,0.046792,6.85,3280,8,82,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MOB032,0.043396,6.8,20,8.1,91.5,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER150,0.04018,6.51,197,6,65,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER200,0.03724,7.05,74,8.3,91,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,UNB016,0.05482,6.87,2100,8.1,86,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER185,0.04312,7.12,131,8.1,90,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,PTB035,0.135292,,959,5.5,59,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MEB001,0.078508,6.93,1050,7.72,84.5,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,SHB021,0.033352,7.06,480,8.64,90.4,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,THB033,0.05062,6.88,318,8.55,88.9,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,UNB002,0.093088,6.97,2910,2.9,30,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,PTB047,0.042856,7.04,1260,8.8,92,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MOB001,0.0427,7.08,20,7,78,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MPB037,0.0283,7.07,63,9.42,103.9,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,BEB025,0.064924,7.02,175,9.71,99.4,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,PQB040,0.05158,7.03,404,4.84,49.6,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,PQB036,0.127792,6.89,1040,1,11,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,EAB010,0.035956,7.12,52,7.8,88,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,POB040,0.14308,6.94,121,5.6,58,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER125,0.044992,6.9,249,5.6,61,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,PEB008,0.046168,6.91,683,5.6,56,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MLB024,0.05608,6.69,223,8.1,86,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,HAB002,0.049744,7.03,31,7.17,81,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,PUB022,0.06106,6.72,179,8.04,87.4,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER080,0.039916,6.9,148,7.04,80.3,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,SPB016,0.036976,6.62,132,6.14,67.8,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,WIP002,0.019564,6.83,10,,,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MMB106,0.06094,6.97,10,6.17,70.3,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER002,0.219436,6.85,97,3.28,36.1,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,WIP003,0.024208,6.77,10,,,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER040,0.078724,6.48,223,4.77,51.3,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,SMB001,0.048328,6.49,86,0.4,4.4,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MIB030,,,,3.51,37,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER179,,,,8.1,90,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,PTB028,,,,3.9,43,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,BMB026,,,,9.58,94.6,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,MPB088,,,,9.59,101.1,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,HAB010,,,,7.62,85.3,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,HAB006,,,,,,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,GEB020,,,,7.5,80.1,0,0
9/12/2019,2019,9/12/2019-1-CWMN,September,NER075,,,,6.23,70,0,0
10/10/2019,2019,10/10/2019-1-CWMN,October,NER080,0.03908,6.7,253,9.25,89.8,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,HAB006,0.024939,7.09,419,,,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,HAB002,0.066575,7.2,52,8.76,84.8,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,HAB010,0.03015,7.18,288,9.04,86.5,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MEB001,0.125156,7,24200,8.09,82.9,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MLB024,0.031832,7.18,63,6.21,66.7,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,PUB022,0.050924,7.06,410,8.4,79.3,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,NER075,0.030164,7.15,10,8.28,79.9,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,GEB020,,7.1,,9.49,88.4,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,SPB016,0.050216,7.11,341,7.94,76.7,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MMB106,0.066992,7.26,20,6.76,66,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MIB030,0.075176,6.69,74,4.68,42.8,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,SMB001,0.062468,6.48,135,1.31,12.8,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,NER040,0.058448,6.93,309,6.57,60.9,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,NER002,0.238904,6.68,52,2.94,28.4,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MOB032,0.034688,7.03,278,8.7,85,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,NER150,0.033944,7.04,51,6.4,60,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,MOB001,0.031136,6.9,86,8.9,87,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,PTB047,0.046148,6.71,199,9,84,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,NER200,0.029024,7.05,185,9.19,87.5,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,UNB002,0.311348,7.11,3650,5.61,52,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,NER179,0.037412,6.97,63,8.9,86.5,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,UNB016,0.05474,7.04,7700,,80.2,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,UNB014,0.057272,6.94,1660,7.07,68.2,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,PTB035,0.092588,6.94,209,6.61,61.8,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,PTB028,0.070448,6.8,3610,5.57,53.1,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,WIP003,0.039656,7.17,857,,,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,THB033,0.036296,6.9,309,9.92,92.9,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,SHB021,0.031304,7.03,109,9.23,89,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,PQB040,0.11996,6.65,364,8.46,82.1,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,PQB036,0.077048,6.75,520,2.4,22,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,PEB008,0.042248,6.79,313,4.9,45,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,EAB010,0.029108,6.97,109,10.12,97.9,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,NER185,0.060416,6.88,309,8.9,88,0.2,0.3
10/10/2019,2019,10/10/2019-1-CWMN,October,BMB026,0.02972,6.67,97,8.2,83.5,0.2,0.3
