Date,Month,Year,SiteID,EC,TP,pH,DOMgL,DOPctSat,DOTemp
10/8/2020,October,2020,MEB001,24200,0.453,7.62,4.93,51.3,17.3
10/8/2020,October,2020,MIB030,74,0.0847,7.7,3.86,37.9,13.2
10/8/2020,October,2020,MLB024,156,0.0306,7.94,9.09,86.2,12.9
10/8/2020,October,2020,MMB106,10,0.0554,7.96,5.27,53.5,16
10/8/2020,October,2020,MOB001,199,0.032,7.05,8.28,82.3,15.1
10/8/2020,October,2020,MOB032,228,0.0268,6.82,7.39,74.8,16
10/8/2020,October,2020,MPB037,31,0.037,7.24,7.51,73.8,14.8
10/8/2020,October,2020,MPB088,108,0.0414,7.01,8.04,75.7,12.9
10/8/2020,October,2020,NER002,41,0.336,7.81,3.84,38.1,15.1
10/8/2020,October,2020,NER040,278,0.0723,7.43,5.88,55.7,13
10/8/2020,October,2020,NER075,63,0.024,7.91,7.92,79.1,15.3
10/8/2020,October,2020,NER080,987,0.0218,7.72,7.95,78.6,14.6
10/8/2020,October,2020,NER125,63,0.0538,6.78,4.99,48.8,14.1
10/8/2020,October,2020,NER150,201,0.0601,7.02,5.06,49.3,14.2
10/8/2020,October,2020,NER179,301,0.0452,7.08,7.22,70.4,14.2
10/8/2020,October,2020,NER185,350,0.0496,7.06,10.11,90.5,10.5
10/8/2020,October,2020,NER200,933,0.0481,6.89,8.9,86,13.9
10/8/2020,October,2020,PEB008,278,0.0697,5.33,6.18,57.7,12.2
10/8/2020,October,2020,POB040,573,0.0729,7,7.45,69.4,12.1
10/8/2020,October,2020,PQB036,,,,0.35,3.4,13.1
10/8/2020,October,2020,PQB040,1720,0.0602,7.07,6.11,57.5,12.6
10/8/2020,October,2020,PTB028,717,0.0738,6.88,4.1,39,14
10/8/2020,October,2020,PTB035,933,0.247,6.93,5.5,52,13.3
10/8/2020,October,2020,PTB047,10500,0.0704,7.09,6.95,65.6,13
10/8/2020,October,2020,PUB022,2220,0.0512,7.68,9.04,83.1,12.2
10/8/2020,October,2020,SHB021,146,0.0499,7.68,8.15,79.4,14.2
10/8/2020,October,2020,SMB001,20,0.047,6.83,1.9,19,15.6
10/8/2020,October,2020,SPB016,20,0.182,7.85,6.27,63,15.6
10/8/2020,October,2020,THB033,464,0.0697,6.92,9.15,86.4,12.8
10/8/2020,October,2020,UNB002,24200,0.251,6.83,4.8,45,12
10/8/2020,October,2020,UNB014,4880,0.0734,7.08,7.9,77,14.3
10/8/2020,October,2020,UNB016,1270,0.0911,7.04,7.9,79,15.1
10/8/2020,October,2020,WIP002,10,0.0513,8.08,,,
10/8/2020,October,2020,WIP003,10,0.0413,8.01,,,
5/13/2021,May,2021,BEB025,20,0.0276,7.13,8.83,80.2,11.1
5/13/2021,May,2021,BMB026,120,0.0257,7.01,9.06,85.8,12.9
5/13/2021,May,2021,EAB010,31,0.0235,7.08,9.81,94.3,14.1
5/13/2021,May,2021,GEB020,86,0.0256,7.17,10.11,89.3,9.9
5/13/2021,May,2021,HAB002,10,0.0289,8.16,8.93,88.7,15
5/13/2021,May,2021,HAB006,31,0.07,7.59,,,
5/13/2021,May,2021,HAB010,130,0.0432,6.86,9.17,87,13.5
5/13/2021,May,2021,MEB001,355,0.06,7.54,9.82,90,12
5/13/2021,May,2021,MIB030,187,0.0355,8.2,6.55,60.3,11.7
5/13/2021,May,2021,MLB024,97,0.0336,7.81,9.93,90.3,10.9
5/13/2021,May,2021,MMB106,10,0.0222,7.94,7.16,72.2,15.7
5/13/2021,May,2021,MOB001,30,0.0367,7.03,8.45,84.5,15.1
5/13/2021,May,2021,MOB032,161,0.0398,7.06,8.82,88.4,15
5/13/2021,May,2021,MPB037,52,0.0196,7.2,9.24,88.5,13.4
5/13/2021,May,2021,MPB088,10,0.0185,6.75,9.71,93.7,13.8
5/13/2021,May,2021,NER002,31,0.365,8.46,3.07,,14.4
5/13/2021,May,2021,NER040,10,0.0621,7.71,5.89,54.4,11.8
5/13/2021,May,2021,NER075,85,0.0349,7.74,9.04,88.7,14.6
5/13/2021,May,2021,NER080,161,0.0321,7.79,9.4,90.5,14.3
5/13/2021,May,2021,NER125,52,0.0328,7.06,6.1,59,14.5
